ID,Group,Feature_1,Feature_2,Feature_3
ID001,A,2271.633815994404,405.75994101230486,4761.201389672321
ID002,C,1981.060658074719,390.5869300411099,-1598.7911786395744
ID003,C,2632.6337728285007,386.6292608191836,-2248.5627359203727
ID004,B,2265.9236807141037,392.7192620761399,4524.171846976004
ID005,B,2633.82236637816,387.50338927092156,5266.7231250634695
ID006,A,2649.0213264984136,392.60629408805363,5981.1878480525
ID007,C,2924.0655676008,411.68009533921037,-2512.9899164116887
ID008,B,2568.641130317347,399.0840950094147,5130.306995599289
ID009,A,2770.5147985604085,404.04636562810526,6305.43340415547
ID010,A,3193.270096347239,400.3184033312224,7571.104284752154
ID011,A,2305.6972861463605,412.0074344280391,4858.143818978391
ID012,B,2191.7491565388746,407.98443314216183,4384.252158132844
ID013,C,2532.6937327199357,376.490101316592,-2151.8006038152907
ID014,B,2304.833381539751,429.55269716170204,4607.0029481353395
ID015,C,2757.565346748921,411.9582202699439,-2347.339375325197
ID016,C,2588.7271529880086,402.76118896438146,-2179.341315321102
ID017,C,2700.119498701507,406.7173199962906,-2285.216393301333
ID018,C,2936.4375238989437,398.9303216397528,-2522.621879862996
ID019,C,2735.137788449282,392.0971861124344,-2330.214527066519
ID020,A,1908.6779749363068,408.6109297491911,3694.224233438336
ID021,B,3166.255300430911,410.0862788731471,6326.790323463163
ID022,C,2618.7587535058956,373.89252017241404,-2234.974761528431
ID023,C,2416.4076807685606,385.4625158806356,-2014.833243297623
ID024,A,2784.6789397328375,391.96917457081355,6369.2961447672205
ID025,A,2269.2337043426182,415.46395418321754,4730.213373801947
ID026,A,2676.331685746051,402.39531602908914,6015.203756652361
ID027,A,2023.2638745066965,370.3615030348105,4219.703041056602
ID028,A,2064.546257601692,388.5812629142803,4240.849536590855
ID029,B,2551.5534841139097,403.8303800415417,5119.185285123472
ID030,B,2300.298429821056,387.07681508637825,4583.043854658592
ID031,C,2098.8120636514764,421.8782520263751,-1700.0591937416868
ID032,B,2750.7818811542174,415.0692843751996,5504.635065305128
ID033,B,2271.9552451341656,388.20995579751775,4549.8985464344905
ID034,A,2302.161407496033,405.74997536818125,4877.3020944962545
ID035,B,2279.4834115836757,397.89372058401676,4573.0302023179775
ID036,B,2661.3988057492993,393.9231396890079,5345.400881501796
ID037,B,2403.666573337797,400.0380684739608,4803.576484440502
ID038,C,2399.2860306154357,396.15412574696194,-1983.2777026085646
ID039,C,2246.3549857750295,372.5447723171868,-1863.5808563568337
ID040,C,2966.6503992911776,395.5522661774705,-2588.437059012913
ID041,B,2732.6762316046684,416.7364412899905,5441.2913970341615
ID042,A,2357.635414890323,442.6254998579628,4854.512407365927
ID043,A,2097.749337915182,380.7186657738238,4368.526514221684
ID044,B,2350.8510145710034,421.92928424501764,4714.718738609916
ID045,C,2278.7363934114633,407.89339612669556,-1857.8303387424935
ID046,C,2625.2401032601665,393.6876690988488,-2239.950696351992
ID047,A,2236.127733594709,386.6167796585714,4762.716426770927
ID048,C,2606.366400443123,388.2032555640405,-2229.6379671534187
ID049,B,2076.9795140229885,387.01958165013434,4163.675983580234
ID050,C,2834.3301056578584,419.21073943256715,-2420.0744657893347
ID051,A,2643.4650462144787,380.7217474111088,6021.750697482214
ID052,B,2373.5785624531322,386.3015497690328,4763.097445287007
ID053,B,2384.5912341843473,388.2424966208973,4757.561128476114
ID054,A,2762.1879028167714,393.1178266686472,6343.354368089585
ID055,C,2467.5565015495586,404.89902513243476,-2047.0903242390818
ID056,B,2195.1162357059047,390.7406036514564,4400.757919559577
ID057,B,1784.3757141482079,403.0319169716443,3566.8337503012217
ID058,C,2405.761219742087,374.204718509055,-2023.5367988745923
ID059,C,2835.19873802951,386.9373647112646,-2456.316072137595
ID060,C,2641.000525772629,401.2322624805128,-2240.3704362809362
ID061,A,2538.551800282366,375.64161668779496,5730.708647409603
ID062,B,2383.207767128472,400.87560936135367,4774.231519824875
ID063,C,2670.414704109537,369.8859838063741,-2309.150450708036
ID064,B,2421.0287904238785,392.7617801830276,4841.678651906867
ID065,A,1856.6099433092943,403.0215768960327,3554.8994306429163
ID066,C,2366.5008394062443,399.1353009851594,-1963.119268812916
ID067,C,2419.2901734101706,388.02490716880607,-2018.7085730624099
ID068,C,2959.4271108037647,374.9744488225349,-2574.480697747574
ID069,A,2629.0108698660283,389.67820171684,5923.295127265174
ID070,B,2971.6690960226188,392.17549068214095,5936.156493751153
ID071,B,3001.7967375763083,391.0706893193174,6018.879784013226
ID072,A,2159.5194887416865,392.69517812357736,4513.686168628902
ID073,C,2314.667607525064,401.68070607824285,-1903.3530472467519
ID074,C,2430.1859128001233,389.6214289503341,-2044.87985669752
ID075,B,2312.2853599313376,392.6048512430066,4625.636335038127
ID076,B,2534.847187319358,385.53809974381517,5080.1286329885825
ID077,B,2329.293549822074,394.83565252250355,4641.1887419806835
ID078,A,3406.968883488177,408.1603973151226,8159.091623969803
ID079,B,2773.350578003141,399.0025507364893,5525.990544964954
ID080,C,2056.0399640057512,411.9783756904824,-1635.0670175867072
ID081,A,2250.9641881369635,388.5239581518102,4821.827679032485
ID082,B,2072.505973515121,403.79056021325823,4116.039857195296
ID083,A,2562.4566248337196,418.6453738063221,5602.485572713742
ID084,B,2424.41637778974,367.3679331533717,4863.599536491385
ID085,A,2634.74021944134,431.8015552984832,5744.740375893883
ID086,A,2233.5354611535245,388.3124263928854,4763.542116401253
ID087,C,2505.1018334183614,371.7688932309589,-2134.219661334694
ID088,B,2654.4602220856573,393.6737924812737,5336.368577374875
ID089,C,2212.985607105565,405.71224786785905,-1802.3877544600875
ID090,B,1891.808081117968,414.96537254068977,3781.5960281403254
ID091,C,2685.7261290451443,405.7512166134537,-2283.6051062111414
ID092,B,2689.5356444573017,418.62220331530375,5374.06920705559
ID093,C,2272.782338026043,393.43806206058235,-1868.7421908996546
ID094,C,3005.573053097095,417.29983054355387,-2593.7928550053216
ID095,C,2612.045161457724,427.0783014057527,-2175.9116196833775
ID096,B,2349.5206748518926,391.8337650055563,4703.904642997574
ID097,A,2284.8213497381594,376.7416911987381,4975.975989339954
ID098,C,3081.988560818435,386.39249790909935,-2700.344465450326
ID099,A,3100.9714983217978,422.04623539298797,7187.250623162182
ID100,B,2292.486245881464,430.7880263555456,4585.5893638867565
ID101,A,2662.135854153977,413.80269473024566,5903.694317838229
ID102,A,2165.3530439117403,395.0763806727924,4499.861039394336
ID103,C,2675.0215011240684,401.682602964212,-2286.321660332883
ID104,B,2715.4530608641035,388.29862200495637,5414.721868606268
ID105,A,2504.7141587798383,396.4806828204253,5538.842419399066
ID106,A,2640.5197052246813,401.4468041675445,5909.705817817127
